School,Student_ID,Name,Sex,Class,Section,Attendance_Percentage,Homework_Completed,Parental_Education,Study_Hours_Per_Week,Failures,Extra_Curricular,Participation_Score,Teacher_Rating,Discipline_Issues,Late_Submissions,Previous_Grade_1,Previous_Grade_2,Final_Grade
0,S6023,Aarav Kapoor,0,0,0,0.8800000000000001,1,3,0.8666666666666667,2,1,0.1111111111111111,0.0,0.4,0.8,0.6,0.1333333333333333,30
0,S5489,Pranav Menon,1,0,0,0.7,0,1,0.7333333333333334,2,0,0.0,0.25,0.4,0.9,1.0,0.6,100
0,S5598,Pranav Mukherjee,1,0,0,0.24,0,1,0.39999999999999997,1,1,0.8888888888888888,0.25,0.2,0.8,0.8666666666666668,0.19999999999999996,35
0,S4647,Pooja Mukherjee,0,0,0,0.14000000000000012,1,1,0.6000000000000001,1,0,0.5555555555555556,0.25,0.6000000000000001,0.9,0.7333333333333333,0.0,100
0,S7477,Diya Kapoor,0,0,0,0.17999999999999994,0,2,0.46666666666666673,1,1,0.2222222222222222,0.0,0.0,0.1,0.4,1.0,95
0,S5924,Tanmay Bhatia,0,0,0,0.9000000000000001,1,3,0.5333333333333334,2,0,0.1111111111111111,0.75,0.6000000000000001,0.1,0.33333333333333337,0.7999999999999999,75
0,S8355,Dev Das,1,0,0,0.8200000000000001,1,1,0.5333333333333334,1,0,0.0,0.75,0.2,0.4,0.6,0.7999999999999999,40
0,S7525,Ved Kapoor,1,0,0,0.0,0,1,0.7333333333333334,0,1,0.0,0.75,1.0,0.5,0.19999999999999996,0.33333333333333337,30
0,S6441,Krishna Sharma,1,0,0,0.17999999999999994,0,2,0.46666666666666673,1,1,0.2222222222222222,0.0,0.0,0.1,0.4,1.0,95
0,S6095,Diya Reddy,1,0,0,0.40000000000000013,1,1,0.8,1,1,0.1111111111111111,0.0,0.6000000000000001,0.6000000000000001,0.7333333333333333,0.9333333333333335,100
0,S9875,Bhavya Sharma,0,0,0,0.8800000000000001,1,2,1.0,2,0,0.1111111111111111,0.5,0.0,0.2,0.1333333333333333,0.1333333333333333,80
0,S4456,Pooja Yadav,1,0,0,0.48,1,0,0.0,1,1,0.8888888888888888,0.0,0.6000000000000001,0.9,0.8666666666666668,0.6666666666666666,75
0,S4439,Kavya Bhatia,0,0,0,0.6600000000000001,0,3,0.6000000000000001,2,0,0.4444444444444445,0.5,0.0,0.30000000000000004,0.1333333333333333,0.2666666666666667,65
0,S6523,Pooja Bose,0,0,0,0.15999999999999992,1,2,0.6000000000000001,0,1,1.0,0.5,0.0,0.2,0.4,1.0,75
0,S5146,Meera Thakur,0,0,0,0.8800000000000001,1,3,0.8666666666666667,2,1,0.1111111111111111,0.0,0.4,0.8,0.6,0.1333333333333333,30
0,S7761,Diya Reddy,0,0,0,0.40000000000000013,1,1,0.8,1,1,0.1111111111111111,0.0,0.6000000000000001,0.6000000000000001,0.7333333333333333,0.9333333333333335,100
0,S4351,Pooja Nair,0,0,0,0.26,1,2,0.9333333333333333,2,0,0.4444444444444445,0.0,0.0,0.5,0.19999999999999996,0.6,40
