School,Student_ID,Name,Sex,Class,Section,Attendance_Percentage,Homework_Completed,Parental_Education,Study_Hours_Per_Week,Failures,Extra_Curricular,Participation_Score,Teacher_Rating,Discipline_Issues,Late_Submissions,Previous_Grade_1,Previous_Grade_2,Final_Grade
GPM,S6023,Aarav Kapoor,F,1,A,94,1,4,18,2,1,2,1,2,8,70,35,30
GPM,S5489,Pranav Menon,M,1,A,85,0,2,16,2,0,1,2,2,9,100,70,100
GPM,S5598,Pranav Mukherjee,M,1,A,62,0,2,11,1,1,9,2,1,8,90,40,35
GPM,S4647,Pooja Mukherjee,F,1,A,57,1,2,14,1,0,6,2,3,9,80,25,100
GPM,S7477,Diya Kapoor,F,1,A,59,0,3,12,1,1,3,1,0,1,55,100,95
GPM,S5924,Tanmay Bhatia,F,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S8355,Dev Das,M,1,A,91,1,2,13,1,0,1,4,1,4,70,85,40
GPM,S7525,Ved Kapoor,M,1,A,50,0,2,16,0,1,1,4,5,5,40,50,30
GPM,S6441,Krishna Sharma,M,1,A,59,0,3,12,1,1,3,1,0,1,55,100,95
GPM,S6095,Diya Reddy,M,1,A,70,1,2,17,1,1,2,1,3,6,80,95,100
GPM,S9875,Bhavya Sharma,F,1,A,94,1,3,20,2,0,2,3,0,2,35,35,80
GPM,S4456,Pooja Yadav,M,1,A,74,1,1,5,1,1,9,1,3,9,90,75,75
GPM,S4439,Kavya Bhatia,F,1,A,83,0,4,14,2,0,5,3,0,3,35,45,65
GPM,S6523,Pooja Bose,F,1,A,58,1,3,14,0,1,10,3,0,2,55,100,75
GPM,S5146,Meera Thakur,F,1,A,94,1,4,18,2,1,2,1,2,8,70,35,30
GPM,S7761,Diya Reddy,F,1,A,70,1,2,17,1,1,2,1,3,6,80,95,100
GPM,S4351,Pooja Nair,F,1,A,63,1,3,19,2,0,5,1,0,5,40,70,40
GPM,S6360,Laksh Nair,F,1,A,52,1,2,10,0,0,9,2,1,9,50,40,45
GPM,S8442,Pranav Nair,M,1,A,50,0,2,16,0,1,1,4,5,5,40,50,30
GPM,S5019,Pranav Gupta,M,1,A,94,1,3,20,2,0,2,3,0,2,35,35,80
GPM,S6006,Meera Mukherjee,F,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S8088,Pooja Menon,M,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S6213,Pranav Mehta,F,1,A,91,1,2,13,1,0,1,4,1,4,70,85,40
GPM,S5420,Krishna Yadav,F,1,A,58,1,3,5,2,0,7,1,1,8,30,95,85
GPM,S6386,Laksh Mehta,M,1,A,52,1,2,10,0,0,9,2,1,9,50,40,45
GPM,S7641,Aryan Menon,F,1,A,58,1,3,14,0,1,10,3,0,2,55,100,75
GPM,S6721,Bhavya Mehta,F,1,A,52,1,2,10,0,0,9,2,1,9,50,40,45
GPM,S6929,Laksh Nair,F,1,A,69,0,1,19,0,0,6,4,1,7,100,60,25
GPM,S8597,Kavya Yadav,M,1,A,58,1,3,14,0,1,10,3,0,2,55,100,75
GPM,S6657,Riya Tripathi,M,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S5251,Sanya Singh,F,1,A,57,0,1,16,0,1,10,5,5,5,65,90,50
GPM,S8308,Rajat Patel,M,1,A,57,1,2,14,1,0,6,2,3,9,80,25,100
GPM,S5548,Krishna Reddy,F,1,A,74,1,1,5,1,1,9,1,3,9,90,75,75
GPM,S5903,Nisha Thakur,F,1,A,99,0,3,11,0,0,1,5,4,9,85,80,85
GPM,S8086,Krishna Yadav,F,1,A,58,1,3,5,2,0,7,1,1,8,30,95,85
GPM,S8143,Rajat Patel,M,1,A,57,1,2,14,1,0,6,2,3,9,80,25,100
GPM,S9015,Pranav Gupta,M,1,A,94,1,3,20,2,0,2,3,0,2,35,35,80
GPM,S6083,Kavya Yadav,M,1,A,58,1,3,14,0,1,10,3,0,2,55,100,75
GPM,S8657,Sanya Singh,F,1,A,57,0,1,16,0,1,10,5,5,5,65,90,50
GPM,S9143,Pooja Menon,M,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S8340,Pooja Menon,M,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S8165,Pooja Menon,M,1,A,95,1,4,13,2,0,2,4,3,1,50,85,75
GPM,S9226,Pranav Gupta,M,1,A,94,1,3,20,2,0,2,3,0,2,35,35,80
GPM,S9744,Diya Kapoor,F,1,A,59,0,3,12,1,1,3,1,0,1,55,100,95
GPM,S9018,Krishna Yadav,F,1,A,58,1,3,5,2,0,7,1,1,8,30,95,85
GPM,S5540,Pooja Nair,F,1,A,63,1,3,19,2,0,5,1,0,5,40,70,40
GPM,S6995,Aarav Kapoor,F,1,A,94,1,4,18,2,1,2,1,2,8,70,35,30
